{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60529, 'packet_len': 116}
{'src_ip': '192.168.240.214', 'dst_ip': '20.189.173.26', 'protocol': 6, 'src_port': 60529, 'dst_port': 443, 'packet_len': 54}
{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60526, 'packet_len': 85}
{'src_ip': '192.168.240.214', 'dst_ip': '20.189.173.26', 'protocol': 6, 'src_port': 60526, 'dst_port': 443, 'packet_len': 54}
{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60526, 'packet_len': 56}
{'src_ip': '192.168.240.214', 'dst_ip': '20.190.146.36', 'protocol': 6, 'src_port': 60056, 'dst_port': 443, 'packet_len': 54}
{'src_ip': '192.168.240.214', 'dst_ip': '192.168.240.233', 'protocol': 17, 'src_port': 60318, 'dst_port': 53, 'packet_len': 92}
{'src_ip': '192.168.240.214', 'dst_ip': '192.168.240.233', 'protocol': 17, 'src_port': 57634, 'dst_port': 53, 'packet_len': 92}
{'src_ip': '192.168.240.214', 'dst_ip': '192.168.240.233', 'protocol': 17, 'src_port': 57634, 'dst_port': 53, 'packet_len': 92}
{'src_ip': '192.168.240.214', 'dst_ip': '192.168.240.233', 'protocol': 17, 'src_port': 60318, 'dst_port': 53, 'packet_len': 92}
{'src_ip': '192.168.240.233', 'dst_ip': '192.168.240.214', 'protocol': 17, 'src_port': 53, 'dst_port': 60318, 'packet_len': 214}
{'src_ip': '192.168.240.233', 'dst_ip': '192.168.240.214', 'protocol': 17, 'src_port': 53, 'dst_port': 57634, 'packet_len': 265}
{'src_ip': '192.168.240.214', 'dst_ip': '20.42.73.29', 'protocol': 6, 'src_port': 60532, 'dst_port': 443, 'packet_len': 74}
{'src_ip': '20.42.73.29', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60532, 'packet_len': 74}
{'src_ip': '192.168.240.214', 'dst_ip': '20.42.73.29', 'protocol': 6, 'src_port': 60532, 'dst_port': 443, 'packet_len': 66}
{'src_ip': '192.168.240.214', 'dst_ip': '20.42.73.29', 'protocol': 6, 'src_port': 60532, 'dst_port': 443, 'packet_len': 281}
{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60526, 'packet_len': 335}
{'src_ip': '192.168.240.214', 'dst_ip': '20.189.173.26', 'protocol': 6, 'src_port': 60526, 'dst_port': 443, 'packet_len': 54}
{'src_ip': '20.42.73.29', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60532, 'packet_len': 1334}
{'src_ip': '20.42.73.29', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60532, 'packet_len': 1334}
{'src_ip': '192.168.240.214', 'dst_ip': '20.42.73.29', 'protocol': 6, 'src_port': 60532, 'dst_port': 443, 'packet_len': 66}
